id,name,sex,sexuality,birthyear,scholar,transfer,main_workplace,value,type
burton,Sarah Burton,1,1,1974,3,1,gb,1,3
chiuri,Maria Grazia Chiuri,1,1,1964,3,3,it,1,3
gianni,Frida Gianni,1,1,1972,3,2,it,1,3
jette,Jette Joop,1,1,1968,2,2,de,1,3
westwood,Vivienne Westwood,1,1,1941,3,1,gb,1,3
ferretti,Alberta Ferretti,1,1,1950,2,1,it,2,3
herrera,Carolina Herrera,1,1,1939,2,2,ven,3,3
versace,Donatella Versace,1,1,1955,2,1,it,3,3
burch,Tory Burch,1,1,1966,3,3,usa,5,3
prada,Miuccia Prada,1,1,1974,1,2,it,5,3
etro,Veronica Etro,1,1,1974,3,2,it,999,3
annette,Annette de la Renta,1,999,999,999,999,999,999,1
bellucci,Monica Belluci,1,999,999,999,999,999,999,1
beyonce,Beyonce Knowles,1,999,999,999,999,999,999,1
buendchen,Giselle Bundchen,1,999,999,999,999,999,999,1
cameron,Dove Cameron,1,999,999,999,999,999,999,1
coppola,Sofia Coppola,1,999,999,999,999,999,999,1
delevingne,Cara Delevingne,1,999,999,999,999,999,999,1
doillon,Lou Doillon,1,999,999,999,999,999,999,1
ellis,Stella Ellis,1,999,999,999,999,999,999,1
evangelista,Linda Evangelista,1,999,999,999,999,999,999,1
gaga,Lady Gaga,1,999,999,999,999,999,999,1
hadid,Gigi Hadid,1,999,999,999,999,999,999,1
hill,Lauryn Hill,1,999,999,999,999,999,999,1
jenner,Kendall Jenner,1,999,999,999,999,999,999,1
kahlo,Frida Kahlo,1,999,999,999,999,999,999,1
kolibius,Felize Kolibius,1,999,999,999,999,999,999,1
lamy,Michele Lamy,1,999,999,999,999,999,999,1
larson,Sarah Larson,1,999,999,999,999,999,999,1
madonna,Madonna,1,999,999,999,999,999,999,1
mara,Rooney Mara,1,999,999,999,999,999,999,1
moss,Kate Moss,1,999,999,999,999,999,999,1
neilson,Annabelle Neilson,1,999,999,999,999,999,999,1
schiffer,Claudia Schiffer,1,999,999,999,999,999,999,1
seymour,Jane Seymour,1,999,999,999,999,999,999,1
shields,Brooke Shields,1,999,999,999,999,999,999,1
stockbridge,Sara Stockbridge,1,999,999,999,999,999,999,1
towley,Mette Towley,1,999,999,999,999,999,999,1
zendaya,Zendaya Coleman,1,999,999,999,999,999,999,1
dalmau,Custo Dalmau,2,2,1959,1,1,sp,1,3
dominguez,Adolfo Dominguez,2,1,1950,3,1,sp,1,3
elkann,Lapo Elkann,2,1,1977,1,1,it,1,3
frank,Paul Frank,2,1,1967,3,1,usa,1,3
galliano,John Galliano,2,2,1960,3,3,gb,1,3
joop,Wolfgang Joop,2,3,1944,1,1,de,1,3
lacroix,Christian Lacroix,2,1,1951,1,4,fr,1,3
mugler,Thierry Mugler,2,2,1949,1,1,fr,1,3
owens,Rick Owens,2,1,1962,3,2,usa,1,3
queen,Alexander McQueen,2,2,1969,2,4,usa,1,3
renta,Oscar de la Renta,2,1,1932,2,1,dr,1,3
rousteing,Olivier Rousteing,2,2,1985,1,NAfr,1,3
simons,Raf Simons,2,2,1968,3,4,usa,1,3
abloh,Virgil Abloh,2,2,1980,2,4,usa,2,3
bailey,Christopher Bailey,2,2,1971,3,3,gb,2,3
costa,Francisco Costa,2,2,1961,3,3,bra,2,3
emanuel,David Emanuel,2,1,1952,3,2,wal,2,3
audigier,Christian Audigier,2,1,1958,1,4,usa,3,3
cavalli,Roberto Cavalli,2,1,1940,3,2,it,3,3
gaultier,Jean P. Gaultier,2,2,1952,3,4,fr,3,3
hardy,Don Ed Hardy,2,1,1945,1,1,usa,3,3
hilfiger,Tommy Hilfiger,2,1,1951,1,1,usa,3,3
jacobs,Marc Jacobs,2,2,1963,3,2,usa,3,3
lagerfeld,Karl Lagerfeld,2,2,1933,3,4,de,3,3
plein,Philipp Plein,2,1,1978,1,1,de,3,3
williams,Pharell Williams,2,1,1973,1,2,usa,3,3
klein,Calvin Klein,2,3,1942,3,1,usa,4,3
armani,Giorgio Armani,2,3,1934,2,4,it,5,3
dolce,Domenico Dolce,2,2,1958,2,2,it,5,3
ford,Tom Ford,2,2,1961,3,2,usa,5,3
gabbana,Stefano Gabbana,2,2,1962,2,2,it,5,3
lauren ,Ralph Lauren,2,2,1939,1,3,usa,5,3
blazy,Matthieu Blazy,2,2,1984,3,4,fr,999,3
yamamoto,Yohji Yamamoto,2,1,1943,3,1,jap,999,3
giabiconi,Baptiste Giabiconi,2,999,999,999,999,999,999,1
kroenig,Brad Kroenig,2,999,999,999,999,999,999,1
ad,ADominguez,999,999,999,999,999,sp,1,2
am,AMcQueen,999,999,999,999,999,gb,1,2
b,Balmain,999,999,999,999,999,fr,1,2
bb,Brooks Brothers,999,999,999,999,999,usa,1,2
bbc,Billionaire Boys Club,999,999,999,999,999,usa,1,2
cb,Custo Barcelona,999,999,999,999,999,sp,1,2
af,AFerretti,999,999,999,999,999,it,2,2
ca,CAudigier,999,999,999,999,999,fr,2,2
ce,Celine,999,999,999,999,999,fr,4,2
a,Armani,999,999,999,999,999,it,5,2
bu,Burberry,999,999,999,999,999,gb,5,2
bv,Bottega Veneta,999,999,999,999,999,it,5,2
c,Chanel,999,999,999,999,999,fr,5,2
ch,Chloe,999,999,999,999,999,fr,5,2
cl,CLacroix,999,999,999,999,999,fr,1,2
dec,DEmanuel Couture,999,999,999,999,999,wal,1,2
do,Donda by Kanye West,999,999,999,999,999,usa,1,2
gal,Galliano,999,999,999,999,999,gb,1,2
gp,Guy Paulin,999,999,999,999,999,fr,1,2
j,Joop,999,999,999,999,999,de,1,2
ja,Jun Ashida,999,999,999,999,999,jap,1,2
je,JetteJoop,999,999,999,999,999,de,1,2
jp,Jean Patou,999,999,999,999,999,fr,1,2
js,Jil Sander,999,999,999,999,999,de,1,2
m,Mugler,999,999,999,999,999,fr,1,2
ml,MLamy,999,999,999,999,999,de,1,2
mm,Maison Margiela,999,999,999,999,999,fr,1,2
n,Nino Cerutti,999,999,999,999,999,it,1,2
or,Ode la Renta,999,999,999,999,999,dr,1,2
p,Pucci,999,999,999,999,999,it,1,2
rs,Raf Simons,999,999,999,999,999,b,1,2
u,Ungaro,999,999,999,999,999,fr,1,2
vb,Van Beirendonck,999,999,999,999,999,b,1,2
vd,Von Dutch,999,999,999,999,999,usa,1,2
viw,VWestwood,999,999,999,999,999,gb,1,2
y,YYamamoto,999,999,999,999,999,jap,1,2
gi,Givenchy,999,999,999,999,999,fr,2,2
he,Herrera,999,999,999,999,999,ven,2,2
o,Owens,999,999,999,999,999,usa,2,2
di,Diesel,999,999,999,999,999,it,3,2
eh,EHardy,999,999,999,999,999,usa,3,2
jpg,JPGaultier,999,999,999,999,999,fr,3,2
kl,KLagerfeld,999,999,999,999,999,fr,3,2
mi,Miu Miu,999,999,999,999,999,it,3,2
mj,MJacobs,999,999,999,999,999,usa,3,2
pp,PPlein,999,999,999,999,999,de,3,2
rc,RCavalli,999,999,999,999,999,it,3,2
th,THilfiger,999,999,999,999,999,usa,3,2
dkny,Donna Karan,999,999,999,999,999,usa,4,2
et,Etro,999,999,999,999,999,it,4,2
le,Lee,999,999,999,999,999,usa,4,2
pc,Pierre Cadin,999,999,999,999,999,fr,4,2
pf,PFrank,999,999,999,999,999,usa,4,2
vw,VWang,999,999,999,999,999,usa,4,2
ck,CKlein,999,999,999,999,999,usa,5,2
d,Dior,999,999,999,999,999,fr,5,2
dg,DolceGabbana,999,999,999,999,999,it,5,2
f,Fendi,999,999,999,999,999,it,5,2
g,Gucci,999,999,999,999,999,it,5,2
h,Hermes,999,999,999,999,999,fr,5,2
l,Levis,999,999,999,999,999,usa,5,2
lv,Louis Vuitton,999,999,999,999,999,fr,5,2
pr,Prada,999,999,999,999,999,it,5,2
rl,RLauren,999,999,999,999,999,usa,5,2
tb,TBurch,999,999,999,999,999,usa,5,2
tf,TFord,999,999,999,999,999,usa,5,2
v,Versace,999,999,999,999,999,it,5,2
va,Valentino,999,999,999,999,999,it,5,2
z,Zegna,999,999,999,999,999,it,5,2
gc,Giorgio Corregliani,999,999,999,999,999,it,NA,2
